SectionID,SectionName,Geometry
179,國道3號(基金交流道到瑪東系統交流道),"LINESTRING(121.71532 25.14015,121.71531 25.14014,121.71524 25.14010,121.71510 25.14002,121.71504 25.13999,121.71503 25.13998,121.71500 25.13996,121.71495 25.13993,121.71490 25.13990,121.71487 25.13988,121.71486 25.13987,121.71480 25.13984,121.71475 25.13981,121.71469 25.13977,121.71440 25.13960,121.71423 25.13949,121.71419 25.13947,121.71415 25.13944,121.71414 25.13944,121.71387 25.13928,121.71359 25.13911,121.71340 25.13900,121.71332 25.13895,121.71330 25.13894,121.71326 25.13892,121.71320 25.13889,121.71297 25.13876,121.71246 25.13849,121.71245 25.13848,121.71236 25.13844,121.71229 25.13840,121.71221 25.13837,121.71202 25.13828,121.71165 25.13810,121.71126 25.13793,121.71124 25.13792,121.71123 25.13792,121.71122 25.13792,121.71120 25.13791,121.71114 25.13788,121.71110 25.13787,121.71066 25.13768,121.71053 25.13762,121.71034 25.13756,121.71022 25.13751,121.71004 25.13745,121.70971 25.13737,121.70964 25.13734,121.70961 25.13733,121.70960 25.13733,121.70956 25.13731,121.70953 25.13730,121.70951 25.13730,121.70920 25.13719,121.70892 25.13709,121.70856 25.13699,121.70827 25.13690,121.70806 25.13684,121.70805 25.13684,121.70791 25.13679,121.70600 25.13621,121.70528 25.13599,121.70454 25.13570,121.70385 25.13536,121.70323 25.13503,121.70257 25.13460,121.70167 25.13396,121.70097 25.13340,121.70025 25.13272,121.69953 25.13190,121.69910 25.13137,121.69872 25.13074,121.69871 25.13072,121.69836 25.13010,121.69825 25.12988,121.69817 25.12967,121.69807 25.12941,121.69796 25.12911,121.69775 25.12846,121.69775 25.12843,121.69774 25.12839,121.69773 25.12836,121.69772 25.12833,121.69770 25.12823,121.69762 25.12790,121.69756 25.12758,121.69754 25.12747,121.69752 25.12733,121.69748 25.12711)"
181,國道3號(瑪東系統交流道到汐止系統交流道),"LINESTRING(121.69754 25.12747,121.69752 25.12733,121.69748 25.12711,121.69744 25.12689,121.69740 25.12659,121.69740 25.12654,121.69736 25.12623,121.69735 25.12614,121.69734 25.12607,121.69733 25.12602,121.69730 25.12579,121.69730 25.12576,121.69730 25.12575,121.69730 25.12573,121.69730 25.12569,121.69724 25.12527,121.69724 25.12525,121.69724 25.12522,121.69724 25.12519,121.69719 25.12483,121.69718 25.12474,121.69711 25.12425,121.69707 25.12402,121.69702 25.12373,121.69698 25.12349,121.69694 25.12333,121.69691 25.12320,121.69683 25.12289,121.69683 25.12287,121.69675 25.12263,121.69669 25.12242,121.69663 25.12226,121.69663 25.12225,121.69662 25.12224,121.69662 25.12223,121.69647 25.12184,121.69642 25.12169,121.69638 25.12162,121.69637 25.12159,121.69636 25.12156,121.69633 25.12148,121.69613 25.12105,121.69591 25.12063,121.69572 25.12030,121.69557 25.12005,121.69546 25.11987,121.69534 25.11970,121.69509 25.11939,121.69441 25.11857,121.69398 25.11811,121.69331 25.11752,121.69302 25.11728,121.69296 25.11723,121.69267 25.11701,121.69213 25.11664,121.69128 25.11611,121.69061 25.11571,121.69034 25.11555,121.68977 25.11516,121.68963 25.11507,121.68900 25.11461,121.68845 25.11415,121.68793 25.11369,121.68747 25.11322,121.68704 25.11275,121.68649 25.11210,121.68640 25.11199,121.68617 25.11167,121.68596 25.11138,121.68549 25.11061,121.68533 25.11033,121.68512 25.10995,121.68511 25.10994,121.68471 25.10918,121.68434 25.10851,121.68401 25.10789,121.68391 25.10771,121.68348 25.10702,121.68336 25.10680,121.68333 25.10674,121.68330 25.10669,121.68324 25.10659,121.68324 25.10658,121.68322 25.10655,121.68311 25.10636,121.68306 25.10628,121.68305 25.10627,121.68276 25.10578,121.68218 25.10489,121.68166 25.10419,121.68100 25.10341,121.68063 25.10303,121.68052 25.10290,121.68050 25.10289,121.68030 25.10268,121.68025 25.10264,121.67978 25.10213,121.67966 25.10201,121.67957 25.10191,121.67949 25.10183,121.67942 25.10177,121.67935 25.10171,121.67929 25.10165,121.67924 25.10160,121.67918 25.10156,121.67912 25.10152,121.67907 25.10148,121.67902 25.10144,121.67895 25.10140,121.67888 25.10136,121.67880 25.10131,121.67871 25.10126,121.67862 25.10122,121.67851 25.10116,121.67841 25.10111,121.67828 25.10105,121.67814 25.10099,121.67797 25.10092,121.67796 25.10091,121.67778 25.10084,121.67756 25.10075,121.67728 25.10064,121.67661 25.10037,121.67606 25.10016,121.67545 25.09994,121.67518 25.09984,121.67451 25.09963,121.67329 25.09927,121.67308 25.09921,121.67218 25.09894,121.67199 25.09888,121.67187 25.09884,121.67170 25.09879,121.67112 25.09859,121.67088 25.09851,121.67073 25.09846,121.67059 25.09841,121.67044 25.09835,121.67041 25.09833,121.67040 25.09833,121.66996 25.09814,121.66950 25.09793,121.66921 25.09779,121.66879 25.09757,121.66871 25.09752,121.66841 25.09736,121.66810 25.09718,121.66772 25.09694,121.66754 25.09683,121.66722 25.09660,121.66666 25.09619,121.66640 25.09597,121.66637 25.09595,121.66634 25.09593,121.66628 25.09588,121.66591 25.09557,121.66558 25.09529,121.66557 25.09528,121.66556 25.09527,121.66553 25.09525,121.66506 25.09484,121.66448 25.09435,121.66398 25.09396,121.66348 25.09362,121.66294 25.09329,121.66254 25.09307,121.66228 25.09295,121.66206 25.09284,121.66180 25.09273,121.66164 25.09267,121.66137 25.09256,121.66103 25.09245,121.66061 25.09233,121.66028 25.09223,121.66013 25.09219,121.65831 25.09162,121.65806 25.09155,121.65806 25.09154,121.65404 25.09029,121.65397 25.09026,121.65368 25.09008,121.65342 25.08991,121.65313 25.08971,121.65292 25.08957,121.65253 25.08925,121.65237 25.08910,121.65230 25.08904,121.65217 25.08892,121.65205 25.08880,121.65189 25.08865,121.65176 25.08852,121.65173 25.08849,121.65161 25.08837,121.65145 25.08819,121.65121 25.08790,121.65111 25.08779,121.65100 25.08765,121.65099 25.08764,121.65099 25.08763,121.65096 25.08760,121.65082 25.08740,121.65062 25.08713,121.65051 25.08695,121.65047 25.08691,121.65027 25.08657,121.65015 25.08635,121.65001 25.08610,121.64988 25.08583,121.64977 25.08557,121.64962 25.08523,121.64946 25.08479,121.64935 25.08447,121.64915 25.08388,121.64902 25.08346,121.64875 25.08261,121.64874 25.08260,121.64874 25.08257,121.64873 25.08253,121.64870 25.08245,121.64862 25.08222,121.64841 25.08156,121.64814 25.08072,121.64813 25.08069,121.64812 25.08065,121.64811 25.08063,121.64790 25.07998,121.64784 25.07977,121.64780 25.07952,121.64774 25.07930,121.64737 25.07817,121.64711 25.07734,121.64668 25.07610,121.64665 25.07605,121.64664 25.07600,121.64635 25.07511,121.64626 25.07481,121.64626 25.07479,121.64625 25.07477,121.64622 25.07467,121.64610 25.07430,121.64580 25.07333,121.64567 25.07294,121.64567 25.07293,121.64565 25.07285,121.64564 25.07282,121.64560 25.07270,121.64552 25.07244,121.64550 25.07239,121.64549 25.07236)"
185,國道3號(汐止系統交流道到新台五路交流道),"LINESTRING(121.64567 25.07293,121.64565 25.07285,121.64564 25.07282,121.64560 25.07270,121.64552 25.07244,121.64550 25.07239,121.64549 25.07236,121.64548 25.07233,121.64548 25.07230,121.64525 25.07148,121.64520 25.07132,121.64484 25.07016,121.64446 25.06895,121.64426 25.06834,121.64421 25.06821,121.64401 25.06757,121.64378 25.06695,121.64373 25.06680,121.64332 25.06549,121.64291 25.06421,121.64260 25.06326,121.64259 25.06322,121.64259 25.06320,121.64252 25.06298,121.64246 25.06277,121.64230 25.06227,121.64210 25.06164,121.64208 25.06160,121.64206 25.06153,121.64204 25.06147,121.64188 25.06103,121.64183 25.06091,121.64180 25.06083,121.64177 25.06076,121.64176 25.06074,121.64172 25.06063,121.64165 25.06047,121.64164 25.06044,121.64162 25.06039,121.64159 25.06034,121.64153 25.06021,121.64150 25.06016,121.64149 25.06014,121.64137 25.05990,121.64128 25.05973,121.64111 25.05943,121.64110 25.05939,121.64082 25.05894,121.64045 25.05838,121.64009 25.05790,121.63977 25.05752)"
187,國道3號(新台五路交流道到南港交流道),"LINESTRING(121.63977 25.05752,121.63937 25.05709,121.63892 25.05667,121.63848 25.05628,121.63811 25.05599,121.63808 25.05596,121.63797 25.05588,121.63789 25.05582,121.63784 25.05579,121.63780 25.05576,121.63773 25.05570,121.63768 25.05567,121.63749 25.05554,121.63702 25.05524,121.63663 25.05501,121.63604 25.05470,121.63546 25.05443,121.63487 25.05419,121.63429 25.05396,121.63375 25.05375,121.63343 25.05362,121.63306 25.05348,121.63272 25.05335,121.63244 25.05325,121.63219 25.05315,121.63154 25.05287,121.63143 25.05282,121.63139 25.05280,121.63136 25.05278,121.63101 25.05262,121.63063 25.05241,121.63004 25.05206,121.62947 25.05168,121.62894 25.05128,121.62866 25.05105,121.62829 25.05071,121.62825 25.05068,121.62787 25.05030,121.62753 25.04994,121.62716 25.04949,121.62685 25.04908,121.62665 25.04880,121.62663 25.04876,121.62661 25.04874,121.62659 25.04871,121.62644 25.04847,121.62635 25.04833,121.62623 25.04811,121.62605 25.04778,121.62582 25.04731,121.62580 25.04726,121.62578 25.04722,121.62576 25.04717,121.62560 25.04682,121.62545 25.04640,121.62525 25.04573,121.62522 25.04563,121.62502 25.04480,121.62481 25.04376,121.62467 25.04304)"
189,國道3號(南港交流道到南港系統交流道),"LINESTRING(121.62467 25.04304,121.62443 25.04180,121.62421 25.04095,121.62411 25.04066,121.62410 25.04065,121.62409 25.04063,121.62408 25.04059,121.62395 25.04023,121.62376 25.03982,121.62355 25.03940,121.62354 25.03938,121.62354 25.03937,121.62351 25.03933,121.62347 25.03925,121.62344 25.03920,121.62338 25.03909,121.62335 25.03904,121.62320 25.03875,121.62299 25.03841,121.62296 25.03838,121.62294 25.03834,121.62292 25.03832,121.62291 25.03829,121.62281 25.03814,121.62279 25.03810,121.62276 25.03806,121.62270 25.03798,121.62215 25.03729,121.62127 25.03638,121.62093 25.03611,121.62088 25.03606,121.62083 25.03602,121.62074 25.03595,121.62068 25.03591,121.62064 25.03587,121.62009 25.03543,121.61964 25.03512,121.61889 25.03461,121.61884 25.03457,121.61877 25.03453,121.61861 25.03444,121.61774 25.03397,121.61772 25.03396)"
191,國道3號(南港系統交流道到南深路交流道),"LINESTRING(121.61694 25.03352,121.61657 25.03330,121.61655 25.03329,121.61653 25.03328)"
193,國道3號(南深路交流道到木柵交流道),"LINESTRING(121.61653 25.03328,121.61439 25.03200,121.61436 25.03199,121.61434 25.03198,121.61400 25.03177,121.61124 25.03016,121.61021 25.02955,121.60897 25.02882,121.60806 25.02829,121.60806 25.02828,121.60740 25.02790,121.60651 25.02736,121.60650 25.02736,121.60648 25.02735,121.60647 25.02734,121.60632 25.02725,121.60538 25.02666,121.60488 25.02632,121.60417 25.02584,121.60307 25.02495,121.60300 25.02489,121.60226 25.02422,121.60196 25.02387,121.60195 25.02386,121.60188 25.02378,121.60188 25.02377,121.60186 25.02376,121.60172 25.02359,121.60151 25.02333,121.60101 25.02274,121.60069 25.02234,121.60033 25.02180,121.59984 25.02108,121.59923 25.01994,121.59888 25.01911,121.59861 25.01844,121.59828 25.01737,121.59818 25.01702,121.59812 25.01686,121.59807 25.01665,121.59791 25.01603,121.59786 25.01587,121.59781 25.01557,121.59775 25.01528,121.59764 25.01481,121.59743 25.01391,121.59735 25.01353,121.59735 25.01352,121.59721 25.01283,121.59719 25.01273,121.59706 25.01197,121.59636 25.00908,121.59594 25.00724,121.59583 25.00672,121.59564 25.00588,121.59563 25.00585,121.59562 25.00577,121.59550 25.00523,121.59550 25.00520,121.59549 25.00516,121.59544 25.00496,121.59544 25.00492,121.59543 25.00489,121.59540 25.00475,121.59529 25.00427,121.59523 25.00390,121.59511 25.00334,121.59499 25.00281,121.59481 25.00200,121.59479 25.00191,121.59464 25.00132)"
195,國道3號(木柵交流道到木柵休息站),"LINESTRING(121.59464 25.00132,121.59414 24.99905,121.59413 24.99899,121.59412 24.99893,121.59411 24.99888,121.59400 24.99842,121.59400 24.99841,121.59399 24.99833,121.59397 24.99827,121.59396 24.99820,121.59394 24.99813,121.59393 24.99806,121.59367 24.99691,121.59354 24.99634,121.59354 24.99628,121.59353 24.99625,121.59302 24.99389,121.59267 24.99232,121.59263 24.99214,121.59219 24.99063,121.59210 24.99032,121.59166 24.98899,121.59114 24.98773,121.59073 24.98689,121.59071 24.98686,121.59071 24.98685,121.59070 24.98682,121.59068 24.98680,121.59068 24.98678,121.59068 24.98677,121.59065 24.98674,121.59063 24.98670,121.59061 24.98667,121.59056 24.98658,121.59050 24.98648,121.59048 24.98644,121.59032 24.98615,121.59026 24.98605,121.59024 24.98602,121.59023 24.98599,121.59001 24.98561,121.58965 24.98499,121.58961 24.98495,121.58958 24.98490,121.58955 24.98486,121.58936 24.98461,121.58934 24.98458,121.58931 24.98454,121.58897 24.98409,121.58894 24.98404,121.58892 24.98402,121.58890 24.98399,121.58875 24.98379,121.58853 24.98354,121.58850 24.98351,121.58848 24.98348,121.58835 24.98333,121.58833 24.98331,121.58832 24.98330,121.58807 24.98302,121.58807 24.98301,121.58805 24.98300,121.58780 24.98271,121.58764 24.98252,121.58703 24.98192,121.58701 24.98190,121.58698 24.98187,121.58689 24.98180,121.58681 24.98171,121.58675 24.98166,121.58673 24.98164,121.58671 24.98162,121.58621 24.98117,121.58617 24.98112,121.58567 24.98073,121.58556 24.98063,121.58554 24.98063,121.58553 24.98062,121.58543 24.98054,121.58533 24.98046,121.58529 24.98042,121.58495 24.98015,121.58306 24.97899,121.58305 24.97899,121.58300 24.97896,121.58295 24.97894,121.58289 24.97891,121.58244 24.97869,121.58240 24.97866,121.58236 24.97865,121.58233 24.97863,121.58230 24.97862,121.58229 24.97861,121.58225 24.97859,121.58108 24.97804,121.58081 24.97792,121.58077 24.97790,121.58074 24.97789,121.58073 24.97788,121.57992 24.97758,121.57988 24.97756,121.57987 24.97756,121.57985 24.97755,121.57941 24.97738,121.57795 24.97697,121.57702 24.97677,121.57590 24.97662,121.57581 24.97661,121.57492 24.97649,121.57452 24.97647,121.57416 24.97644,121.57371 24.97642,121.57305 24.97640,121.57272 24.97640,121.57233 24.97642,121.57187 24.97643,121.57171 24.97644,121.57164 24.97644,121.57157 24.97645,121.57153 24.97645,121.57151 24.97645,121.57119 24.97647,121.57089 24.97649,121.57055 24.97653,121.57042 24.97654,121.57010 24.97658,121.56940 24.97668)"
197,國道3號(木柵休息站到新店交流道),"LINESTRING(121.57010 24.97658,121.56940 24.97668,121.56861 24.97683,121.56709 24.97713,121.56592 24.97735,121.56544 24.97744,121.56455 24.97752,121.56390 24.97754,121.56327 24.97753,121.56276 24.97750,121.56211 24.97742,121.56144 24.97732,121.56141 24.97731,121.56140 24.97731,121.56136 24.97730,121.56086 24.97719,121.56052 24.97710,121.56042 24.97707,121.56033 24.97704,121.56029 24.97703,121.56027 24.97703,121.56023 24.97702,121.56011 24.97698,121.56007 24.97697,121.56003 24.97696,121.55984 24.97690,121.55976 24.97688,121.55957 24.97681,121.55943 24.97676,121.55934 24.97673,121.55926 24.97670,121.55909 24.97664,121.55908 24.97664,121.55900 24.97660,121.55895 24.97659,121.55869 24.97648,121.55829 24.97632,121.55817 24.97627,121.55815 24.97626,121.55811 24.97623,121.55808 24.97622,121.55806 24.97621,121.55805 24.97621,121.55783 24.97610,121.55740 24.97590,121.55693 24.97565,121.55650 24.97542,121.55586 24.97504,121.55575 24.97496,121.55568 24.97491,121.55566 24.97490,121.55563 24.97488,121.55553 24.97481,121.55502 24.97449,121.55460 24.97416,121.55438 24.97399,121.55426 24.97389,121.55422 24.97387,121.55411 24.97377,121.55407 24.97373,121.55401 24.97369,121.55376 24.97348,121.55371 24.97344)"
199,國道3號(新店交流道到安坑交流道),"LINESTRING(121.55401 24.97369,121.55376 24.97348,121.55371 24.97344,121.55365 24.97338,121.55361 24.97335,121.55360 24.97333,121.55359 24.97333,121.55357 24.97331,121.55353 24.97327,121.55327 24.97304,121.55309 24.97287,121.55306 24.97285,121.55303 24.97282,121.55300 24.97280,121.55274 24.97255,121.55245 24.97226,121.55231 24.97211,121.55219 24.97199,121.55210 24.97190,121.55184 24.97161,121.55155 24.97131,121.55143 24.97118,121.55128 24.97099,121.55009 24.96949,121.55008 24.96947,121.55007 24.96946,121.54987 24.96920,121.54984 24.96918,121.54983 24.96916,121.54958 24.96884,121.54649 24.96490,121.54631 24.96468,121.54628 24.96464,121.54625 24.96460,121.54609 24.96439,121.54546 24.96359,121.54537 24.96348,121.54476 24.96270,121.54449 24.96235,121.54438 24.96222,121.54434 24.96218,121.54414 24.96194,121.54412 24.96191,121.54410 24.96188,121.54408 24.96185,121.54375 24.96148,121.54354 24.96125,121.54346 24.96118,121.54272 24.96054,121.54222 24.96021,121.54145 24.95971,121.54074 24.95933,121.54030 24.95911,121.53979 24.95892,121.53946 24.95882,121.53936 24.95879,121.53932 24.95878,121.53910 24.95875,121.53887 24.95871,121.53872 24.95869,121.53870 24.95868,121.53867 24.95868,121.53863 24.95868,121.53860 24.95867,121.53854 24.95866,121.53850 24.95866,121.53848 24.95866,121.53846 24.95866,121.53844 24.95865,121.53825 24.95864,121.53819 24.95863,121.53815 24.95863,121.53812 24.95863,121.53807 24.95862,121.53803 24.95862,121.53802 24.95862,121.53793 24.95862,121.53791 24.95862,121.53768 24.95861,121.53748 24.95861,121.53741 24.95861,121.53734 24.95862,121.53732 24.95862,121.53714 24.95863,121.53698 24.95864,121.53681 24.95865,121.53675 24.95866,121.53674 24.95866,121.53673 24.95866,121.53667 24.95867,121.53647 24.95870,121.53630 24.95872,121.53616 24.95875,121.53599 24.95878,121.53585 24.95881,121.53568 24.95885,121.53552 24.95889,121.53531 24.95896,121.53510 24.95902,121.53493 24.95908,121.53469 24.95917,121.53463 24.95920,121.53461 24.95920,121.53460 24.95921,121.53448 24.95926,121.53439 24.95930,121.53436 24.95932,121.53433 24.95933,121.53423 24.95937,121.53404 24.95947,121.53384 24.95958,121.53382 24.95959,121.53379 24.95960,121.53375 24.95962,121.53365 24.95968,121.53350 24.95977,121.53334 24.95988,121.53315 24.96000,121.53314 24.96001,121.53308 24.96005,121.53306 24.96006,121.53272 24.96031,121.53269 24.96034,121.53263 24.96039,121.53261 24.96041,121.53260 24.96042,121.53257 24.96045,121.53256 24.96046,121.53242 24.96058,121.53240 24.96060,121.53230 24.96069,121.53224 24.96075,121.53220 24.96079,121.53217 24.96082,121.53214 24.96085,121.53204 24.96095,121.53181 24.96117,121.53160 24.96141,121.53153 24.96148,121.53149 24.96152,121.53148 24.96154,121.53146 24.96156,121.53144 24.96157,121.53142 24.96160,121.53117 24.96188,121.53114 24.96191,121.53113 24.96193,121.53111 24.96196,121.53107 24.96199,121.53107 24.96200,121.53097 24.96212,121.53089 24.96220,121.53087 24.96223,121.53065 24.96249,121.53045 24.96273,121.53017 24.96305,121.52995 24.96332,121.52954 24.96377,121.52918 24.96420,121.52910 24.96430,121.52908 24.96432,121.52906 24.96435,121.52885 24.96460,121.52840 24.96512,121.52725 24.96643,121.52624 24.96763,121.52585 24.96809,121.52551 24.96850,121.52518 24.96888,121.52511 24.96896,121.52502 24.96905,121.52499 24.96910,121.52496 24.96914,121.52483 24.96929,121.52481 24.96931,121.52478 24.96934,121.52476 24.96937,121.52473 24.96940,121.52472 24.96941,121.52468 24.96946,121.52464 24.96951,121.52452 24.96965)"
